Population,maternal_plant,Family_ID,seeds,label,Date_planted,Germination_date,Time_to_germination,Is.germinated,Row,Column ,Date_flower_start,Days_to_first_flower,Bnr_wdth1.1,Bnr_length1.1,Bnr_wdth1.2,Bnr_length1.2,Bnr_wdth1.3,Bnr_length1.3,Bnr_wdth2.1,Bnr_length2.1,Bnr_wdth2.2,Bnr_length2.2,Bnr_wdth2.3,Bnr_length2.3,Inflor_height1,Inflor_height2,Inflor_height3,Number of flowers_inflorescences 1,Number of flowers_inflorescences 2,Number of inflorescences ,width_leaf1,length_leaf1,heigth_leaf1,width_leaf2,length_leaf2,heigth_leaf2,width_leaf3,length_leaf3,heigth_leaf3,Width_stolon1,Width_stolon2,weigth_flowers+bag,weigth_plant+bag,HCN_Results,Comments_HCN
14,7,3,3,14-3-3,2017-04-26,2017-04-30,4,1,4,17,2017-07-05,66,3.72,5.96,3.96,5.77,4.07,6.42,3.88,6.4,3.52,6.34,3.95,6.32,111.33,83.14,122.85,80,64,35,9.09,11.75,470,7.4,8.8,390,7.27,8.26,450,1.36,1.41,5.658,8.167,1,
9,3,7,1,9-7-1,2017-04-26,2017-04-30,4,1,4,18,2017-07-02,63,3.92,6.89,4.33,7.33,3.99,6.64,3.61,6.45,4.18,7.07,4.04,7.44,118.59,120.89,99.56,52,47,41,11.12,9.94,470,8.17,8.51,500,12.29,12.58,530,1.54,1.58,4.952,12.463,0,
10,5,8,4,10-8-4,2017-04-26,2017-05-04,8,1,4,19,2017-07-07,64,3.65,6.85,4.07,6.49,4.14,5.67,3.71,6.02,4.23,6.72,4.51,6.83,55.71,59.35,63.56,50,52,23,8,11.69,440,11.29,13.53,390,13.58,14.45,350,1.69,1.41,4.607,7.473,0,
21,1,1,2,21-1-2,2017-04-27,2017-05-01,4,1,4,20,2017-06-19,49,3.51,6.02,3.31,6,2.94,4.7,3.93,7.98,4.1,7.84,4.03,7.8,123.18,145.34,147.18,42,65,51,7.36,14.74,400,9.7,11.42,630,11.46,15.06,530,1.63,1.62,6.93,8.984,0,
15,9,6,3,15-6-3,2017-04-26,2017-04-29,3,1,4,21,2017-07-07,69,3.98,6.82,4.45,7.03,4.06,7.92,3.98,7.06,3.76,5.79,3.38,6.36,83.38,112.38,106.49,50,49,21,9.9,10.7,690,10.5,12.03,590,8.43,9.5,640,1.35,1.36,4.886,10.259,0,
27,3,2,1,27-2-1,2017-04-27,2017-04-30,3,1,4,22,2017-06-18,49,3.27,6.16,3.61,6.32,3.46,5.81,3.79,6.9,3.46,6.95,3.61,6.51,105.41,95.27,112.69,19,40,32,8.58,9.01,350,12.51,12.16,400,11.09,10.62,370,1.41,1.44,6.83,9.678,0,
19,7,4,5,19-4-5,2017-04-27,2017-04-30,3,1,4,23,2017-07-07,68,4.27,7.2,3.76,6.26,3.52,6.33,3.35,6.44,3.86,6.46,3.84,6.94,94.91,121.98,133.99,71,65,37,7.63,8.3,540,7.89,8.54,510,7.59,8.36,550,1.92,1.77,6.201,9.306,0,
5,1,2,1,5-2-1,2017-04-25,2017-05-01,6,1,4,24,2017-07-05,65,3.92,7.6,4.15,6.93,3.2,6.5,3.57,6.4,3.52,6.68,3.73,6.25,150.19,96.05,138.05,46,44,35,13.6,15.07,650,8.63,9.7,450,10.85,14.83,580,1.33,1.16,5.478,11.956,0,
14,1,2,3,14-2-3,2017-04-26,2017-04-30,4,1,4,25,2017-07-02,63,3.71,6.94,3.56,6.37,3.23,6.98,3.74,6.83,3.85,7.07,3.47,7.13,125.92,120.96,142.85,68,53,38,6.05,7.18,500,7.87,8.79,550,6.4,7.67,320,1.3,1.45,5.004,9.734,1,
11,9,6,2,11-6-2,2017-04-26,2017-05-04,8,1,4,26,2017-07-05,62,3.74,6.35,3.8,7.13,3.99,6.9,4.09,6.26,3.63,6.79,3.58,6.37,125.02,135.06,122.01,53,46,6,12.33,14.92,450,9.87,10.32,440,12.04,14.16,320,1.27,1.35,3.916,11.473,1,
