"","Population","Individual","Num.Flwrs","Num.Seeds","Comments"
"319",17,3,40,11,NA
"320",17,4,51,44,NA
"321",17,5,43,60,NA
"322",17,6,53,75,NA
"323",17,7,21,30,NA
"324",17,8,34,37,NA
"325",17,9,19,20,NA
"326",17,10,28,14,NA
"327",17,11,30,16,NA
"328",17,12,18,11,NA
"329",17,13,12,3,NA
"330",17,14,30,13,NA
"331",17,15,37,41,NA
"332",17,16,69,66,NA
"333",17,17,42,16,NA
"334",17,18,45,125,NA
"335",17,19,55,101,NA
"336",17,20,24,10,NA
"337",18,1,18,3,NA
"338",18,2,8,2,NA
"339",18,3,29,0,NA
"340",18,4,32,24,NA
"341",18,5,20,7,NA
"342",18,6,30,0,NA
"343",18,7,32,51,NA
"344",18,8,16,22,NA
"345",18,9,6,2,NA
"346",18,10,55,40,NA
"347",18,11,19,13,NA
"348",18,12,33,56,NA
"349",18,13,20,24,NA
"350",18,14,28,22,NA
"351",18,15,9,5,NA
"352",18,16,20,15,NA
"353",18,17,19,35,NA
"354",18,18,17,9,NA
"355",18,19,14,7,NA
"356",18,20,36,21,NA
"357",19,1,18,28,NA
"358",19,2,13,3,NA
"359",19,3,13,2,NA
"360",19,4,32,32,NA
"361",19,5,17,21,NA
"362",19,6,23,13,NA
"363",19,7,43,61,NA
"364",19,8,25,33,NA
"365",19,9,25,3,NA
"366",19,10,20,26,NA
"367",19,11,16,5,NA
"368",19,12,23,25,NA
"369",19,13,31,21,NA
"370",19,14,29,24,NA
"371",19,15,26,15,NA
"372",19,16,18,1,NA
"373",19,17,25,20,NA
"374",19,18,33,24,NA
"375",19,19,30,7,NA
"376",19,20,31,4,NA
"377",20,1,18,33,NA
"378",20,2,10,14,NA
"379",20,3,36,55,NA
"380",20,4,38,19,NA
"381",20,5,32,23,NA
"382",20,6,15,11,NA
"383",20,7,38,35,NA
"384",20,8,35,31,NA
"385",20,9,7,5,NA
"386",20,10,35,16,NA
"387",20,11,11,3,NA
"388",20,12,21,9,NA
"389",20,13,15,5,NA
"390",20,14,14,15,NA
"391",20,15,38,58,NA
"392",20,16,8,8,NA
"393",20,17,18,2,NA
"394",20,18,49,30,NA
"395",20,19,21,3,NA
"396",20,20,43,24,NA
"397",21,1,32,24,NA
"398",21,2,26,5,NA
"399",21,3,25,4,NA
"400",21,4,15,6,NA
"401",21,5,17,4,NA
"402",21,6,16,3,NA
"403",21,7,40,19,NA
"404",21,8,14,3,NA
"405",21,9,30,15,NA
"406",21,10,37,41,NA
"407",21,11,28,21,NA
"408",21,12,16,19,NA
"409",21,13,20,4,NA
"410",21,14,19,1,NA
"411",21,15,35,18,NA
"412",21,16,30,0,NA
"413",21,17,14,0,NA
"414",21,18,35,15,NA
"415",21,19,17,6,NA
"416",21,20,18,7,NA
"417",22,1,19,4,NA
"418",22,2,20,5,NA
"419",22,3,41,50,NA
"420",22,4,43,44,NA
"421",22,5,31,50,NA
"422",22,6,51,41,NA
"423",22,7,29,8,NA
"424",22,8,15,12,NA
"425",22,9,48,56,NA
"426",22,10,42,34,NA
"427",22,11,44,65,NA
"428",22,12,51,6,NA
"429",22,13,79,37,NA
"430",22,14,40,13,NA
"431",22,15,23,5,NA
"432",22,16,27,15,NA
"433",22,17,19,11,NA
"434",22,18,32,35,NA
"435",22,19,14,0,NA
"436",22,20,25,29,NA
"437",23,1,33,68,NA
"438",23,2,40,91,NA
"439",23,3,18,41,NA
"440",23,4,42,15,NA
"441",23,5,4,5,NA
"442",23,6,30,66,NA
"443",23,7,46,102,NA
"444",23,8,69,106,NA
"445",23,9,4,7,NA
"446",23,10,9,0,NA
"447",23,11,46,60,NA
"448",23,12,20,13,NA
"449",23,13,20,38,NA
"450",23,14,15,7,NA
"451",23,15,14,0,NA
"452",23,16,35,26,NA
"453",23,17,13,24,NA
"454",23,18,53,56,NA
"455",23,19,18,0,NA
"456",23,20,34,0,NA
"457",24,1,71,94,NA
"458",24,2,26,84,NA
"459",24,3,40,19,NA
"460",24,4,33,40,NA
"461",24,5,24,52,NA
"462",24,6,31,65,NA
"463",24,7,40,104,NA
"464",24,8,41,40,NA
"465",24,9,28,70,NA
"466",24,10,17,30,NA
"467",24,11,55,57,NA
"468",24,12,60,53,NA
"469",24,13,44,70,NA
"470",24,14,24,32,NA
"471",24,15,47,76,NA
"472",24,16,56,133,NA
"473",24,17,22,19,NA
"474",24,18,59,112,NA
"475",24,19,55,116,NA
"476",24,20,62,108,NA
"477",25,1,19,4,NA
"478",25,2,48,71,NA
"479",25,3,40,51,NA
"480",25,4,41,48,NA
"481",25,5,15,8,NA
"482",25,6,35,38,NA
"483",25,7,44,45,NA
"484",25,8,29,30,NA
"485",25,9,68,61,NA
"486",25,10,74,83,NA
"487",25,11,36,67,NA
"488",25,12,20,22,NA
"489",25,13,58,46,NA
"490",25,14,33,32,NA
"491",25,15,23,24,NA
"492",25,16,56,59,NA
"493",25,17,60,59,NA
"494",25,18,38,39,NA
"495",25,19,41,73,NA
"496",25,20,47,1,NA
"497",26,1,41,31,NA
"498",26,2,20,25,NA
"499",26,3,54,21,NA
"500",26,4,20,1,NA
"501",26,5,46,17,NA
"502",26,6,41,31,NA
"503",27,1,46,31,NA
"504",27,2,27,24,NA
"505",27,3,24,2,NA
"506",27,4,63,34,NA
"507",27,5,42,37,NA
"508",27,6,6,1,NA
"509",27,7,27,16,NA
"510",27,8,69,20,NA
"511",27,9,23,7,NA
"512",27,10,12,0,NA
"513",27,11,39,1,NA
"514",27,12,40,0,NA
"515",27,13,28,0,NA
"516",27,14,23,19,NA
"517",27,15,17,2,NA
"518",27,16,32,22,NA
"519",27,17,37,55,NA
"520",27,18,25,1,NA
"521",27,19,47,38,NA
"522",27,20,35,7,NA
