Family,Population,Latitude,Longitude,gmis,Distance_to_core,Distance_to_cg,num_plants,Time_to_germination,Days_to_flower,Num_Inf,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_petiole_lgth,Avg_stolon_thick,Avg_seeds_per_flower,sex_asex,n_HCN,total_plants,freqHCN,Time_to_germination_C,Days_to_flower_C,Num_Inf_C,Reprod_biomass_C,Veget_biomass_C,Avg_bnr_wdth_C,Avg_bnr_lgth_C,Avg_petiole_lgth_C,Avg_peducle_lgth_C,Avg_num_flwrs_C,Avg_leaf_wdth_C,Avg_leaf_lgth_C,Avg_stolon_thick_C,freqHCN_C
26_7,26,43.414687,-79.832589,55,45.27544397596537,20.31390823719724,3,3.3333333333333335,56,12.333333333333334,0.5978000000000003,1.9746,3.5727777777777776,6.355555555555555,78.19111111111111,46,9.613333333333333,12.21111111111111,323.3333333333333,1.4483333333333335,1.3971563804412641,0.3027448597184242,2,3,0.6666666666666666,0.6806615776081425,0.9009808375871929,0.5826556262013899,0.36526869146571445,0.5411757024079797,1.0022464142426242,1.024264502247502,0.7252123981953478,0.7625006846175176,0.9978525932666059,0.8705603594294398,0.9683488012374324,1.0506798352711582,2.6433430515063168
26_8,26,43.414687,-79.832589,55,45.27544397596537,20.31390823719724,4,3,58.75,27,2.4315500000000005,3.8611500000000003,3.3466666666666667,5.9037500000000005,95.565,47.625,10.065,13.2975,320.8333333333333,1.3699999999999999,2.5330420370930913,0.6297476140528082,2,4,0.5,0.6125954198473282,0.9452254322901354,1.27554339790034,1.4857294860044457,1.0582196715043914,0.9388170423569535,0.9514512936414898,0.7196050858381672,0.9319266204303668,1.0331028207461328,0.9114622071072099,1.054500124295658,0.9938536531563774,1.9825072886297377
27_1,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,4,3.25,58.25,21.25,1.9283000000000003,3.7176500000000003,3.565,6.031666666666666,90.08666666666667,55,10.524166666666666,12.105833333333333,420.8333333333333,1.4875,2.5364526175936106,0.5186878807849045,2,4,0.5,0.663645038167939,0.937180960525964,1.003899896495638,1.1782328834950435,1.018890838679746,1.0000645685266552,0.9720664074214275,0.9438975801253882,0.8785032471354957,1.1930846223839855,0.9530432367574893,0.9600002071594299,1.0790929263285485,1.9825072886297377
27_2,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,3.6666666666666665,53.333333333333336,33.666666666666664,3.095133333333334,2.8187333333333338,3.6855555555555557,6.368888888888889,104.69222222222223,46.833333333333336,10.758888888888889,11.613333333333333,335.55555555555554,1.3283333333333334,2.976267011010243,1.0980582294647714,1,3,0.3333333333333333,0.7487277353689568,0.858076988178279,1.5904923850362265,1.891193212744365,0.772526076961133,1.0338831771241748,1.0264133088955738,0.7526259252748969,1.020933070066452,1.0159296329996967,0.9742991170082368,0.9209446470003314,0.9636269605421324,1.3216715257531584
27_3,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,4.333333333333333,54,21.333333333333332,1.546466666666667,3.824733333333334,3.913333333333333,6.581666666666667,97.3788888888889,51.833333333333336,10.23111111111111,12.063333333333334,520,1.3183333333333334,1.7304038945988098,0.404333199700197,1,3,0.3333333333333333,0.8848600508905853,0.8688029505305075,1.0078367588348365,0.9449244826508505,1.048239009515791,1.0977800873775532,1.0607046816543844,1.1663209702935489,0.9496152233923132,1.1243918713982408,0.9265048300538928,0.9566299303944317,0.9563725543147136,1.3216715257531584
27_4,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,3.6666666666666665,55.666666666666664,26.333333333333332,1.320466666666667,3.3780666666666668,3.450555555555556,6.0249999999999995,88.8411111111111,36.5,12.794444444444444,14.233333333333334,424.44444444444446,1.575,2.7122418644157773,0.3908941998381718,1,3,0.3333333333333333,0.7487277353689568,0.8956178564110787,1.2440484991867513,0.8068336089953613,0.9258217366121323,0.9679602672773968,0.9709920040973916,0.9519970313079823,0.8663568925135403,0.7917743403093721,1.1586341353247804,1.1287122969837589,1.1425689808184631,1.3216715257531584
27_5,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,3.3333333333333335,55.666666666666664,31.333333333333332,1.9181333333333337,3.9347333333333334,3.23,5.910555555555556,104.12333333333333,54,10.283333333333333,12.232222222222221,274.44444444444446,1.3283333333333334,2.4372040879451067,0.4874875044475696,0,3,0,0.6806615776081425,0.8956178564110787,1.4802602395386661,1.1720208309190958,1.0783865468726619,0.9060893566174183,0.9525480803681097,0.6155582898771509,1.0153854040838999,1.1713921747042766,0.9312339489735859,0.9700229256435753,0.9636269605421325,0
27_6,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,4,3.5,61.75,22.5,1.9408000000000003,4.568150000000001,3.7070833333333333,6.520416666666667,95.34,49.666666666666664,11.518333333333334,13.119166666666667,424.16666666666663,1.4049999999999998,2.6849559639119542,0.42485470048050084,3,4,0.75,0.7146946564885497,0.9934922628751637,1.0629528315836168,1.1858706530556347,1.251986116152645,1.039922214373732,1.0508336011148052,0.9513739966016288,0.9297324751931269,1.077391568092205,1.0430725804467509,1.0403581786542924,1.0192440749523433,2.9737609329446064
27_7,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,3,49.333333333333336,30,1.9461333333333337,2.302066666666667,3.6972222222222224,6.247777777777777,91.43111111111111,47.75,10.428888888888888,12.553333333333333,433.3333333333333,1.5466666666666666,1.044135551948052,0.8453853059569661,1,3,0.3333333333333333,0.6125954198473282,0.7937212140649081,1.4172704421114888,1.1891294347348202,0.6309240075576472,1.0371559456981283,1.006894981842256,0.9719341419112908,0.8916139421333242,1.0358143767060963,0.9444151102178366,0.9954872389791184,1.1220148298407764,1.3216715257531584
27_8,27,43.400155,-79.848595,6,47.27917025686753,22.37937676040562,3,3.3333333333333335,61.333333333333336,25.333333333333332,1.8078,4.737733333333333,3.6666666666666665,6.128333333333333,86.17777777777778,52.333333333333336,9.604444444444445,11.586666666666668,321.11111111111114,1.3283333333333334,2.9184464535290005,0.3815748740607323,1,3,0.3333333333333333,0.6806615776081425,0.986788536405021,1.1968061511163683,1.104604784930944,1.2984635695778213,1.0285844089568215,0.9876452556199471,0.7202281205445207,0.840384714075693,1.1352380952380952,0.8697554030175771,0.9188299635399404,0.9636269605421325,1.3216715257531584
3_1,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,2,6,63.5,37,2.4608,4.785900000000001,3.5316666666666667,6.781666666666666,122.03833333333333,49.75,12.14,13.226666666666667,305,1.2875,2.168831699346405,0.5141770617856619,1,2,0.5,1.2251908396946565,1.0216479140497636,1.7479668786041698,1.503601866776229,1.3116645366931787,0.9907138011725022,1.0929367813754596,0.684092107576024,1.1900881237512468,1.0791992720655141,1.0993692195013938,1.048882996353994,0.9340048017801722,1.9825072886297377
3_2,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,3,5,62,36.333333333333336,2.939133333333334,3.7584,3.7172222222222224,6.580555555555556,106.55222222222223,45.666666666666664,11.833333333333334,13.135555555555555,330,1.1466666666666667,2.040488858863806,0.7820171704271323,0,3,0,1.0209923664122138,0.9975144987572494,1.716471979890581,1.7958738486281864,1.0300591309278593,1.04276640611062,1.0605256144337116,0.7401652311478292,1.0390713373609688,0.9906217773733696,1.071598223292133,1.0416578278643245,0.831838580744024,0
3_3,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,3,4,70.33333333333333,16,0.48980000000000024,2.3464000000000005,3.2327777777777778,5.536666666666667,89.78222222222222,42.5,10.894444444444444,12.285555555555556,358.8888888888889,1.3316666666666666,0.011627906976744186,0.20874531196726906,1,3,0.3333333333333333,0.816793893129771,1.1315890281601055,0.7558775691261275,0.29927836246220635,0.6430743786742044,0.9068685872302643,0.8922919606117663,0.8049608406085819,0.8755343790120204,0.9219290263876251,0.9865747022891421,0.9742522925643575,0.966045095951272,1.3216715257531584
3_4,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,4,6.25,59.25,20.5,1.3485500000000004,3.3279000000000005,3.3583333333333334,6.0075,89.54166666666667,40.875,9.376666666666667,11.725,374.1666666666667,1.1712500000000001,2.489537922032201,0.40522551759367775,0,4,0,1.276240458015267,0.9532699040543069,0.9684681354428507,0.8239931312748228,0.9120726324539229,0.942089810930907,0.9681716953717976,0.8392277494580185,0.87318853978307,0.8866787989080982,0.8491283949635972,0.9297998839907193,0.8496723293864286,0
3_5,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,2,16,59,14,1.0148000000000001,1.5819,3.5833333333333335,6.240833333333333,75.29833333333335,55,8.053333333333333,9.96,328.33333333333337,1.0825,NaN,0.6415070484859979,0,2,0,3.267175572519084,0.9492476681722211,0.6613928729853615,0.6200646840070373,0.43354899404394975,1.0052074905714394,1.005775811713052,0.7364270229097087,0.7342910198019418,1.1930846223839855,0.7292905091475473,0.7898342724560823,0.7852894741180865,0
3_6,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,2,6,60.5,19,1.4648000000000003,2.5414000000000003,3.4316666666666666,6.2283333333333335,74.15166666666667,49.75,10.283333333333333,12.9,260,1.2425,2.5666113307457175,0.5763752262532463,1,2,0.5,1.2251908396946565,0.9733810834647353,0.8976046133372764,0.8950243881883211,0.6965177403522942,0.9626614991100435,1.0037613054804848,0.5831604851467744,0.7231090055558598,1.0791992720655141,0.9312339489735859,1.022978123964203,0.9013599737567874,1.9825072886297377
3_7,3,43.683698,-79.421095,37,4.492586326551475,24.509794771746183,5,5.2,66.5,11.6,1.0558400000000003,3.0542000000000002,3.547083333333333,6.170416666666667,107.27166666666666,37,9.652,10.828666666666667,369.3333333333333,1.336,2.2957427022284063,0.34570100189902436,0,5,0,1.0618320610687024,1.0699147446347916,0.5480112376164424,0.6451410090283706,0.8370600781395989,0.9950385310737979,0.9944274266029235,0.8283869455674694,1.0460871844775754,0.8026205641492266,0.8740619198210422,0.85872008617832285,0.9691886719831534,0
4_1,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,4,8.75,64,22,1.1825500000000002,4.845650000000001,3.65,5.979166666666667,56.73416666666667,52.875,10.543333333333333,12.9775,403.33333333333337,1.3075,2.548405504108517,0.24404362675802008,1,4,0.25,1.786736641221374,1.0296923858139349,1.039331657548425,0.7225635515101715,1.3280401308483882,1.0239090252797451,0.9636054812446453,0.9046463936251246,0.5532577848019655,1.1469881710646042,0.954778924020568,1.0291239227709645,0.9485136142350099,0.9912536443148688
4_2,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,4.333333333333333,53.5,18.666666666666668,1.1552,3.0197333333333334,3.526666666666667,5.855833333333333,90.66333333333333,26,10.99,12.323333333333334,403.3333333333333,1.225,2.357431749241658,0.3825503355704698,0,3,0,0.8848600508905853,0.8607584787663362,0.8818571639804821,0.7058521117115978,0.8276138497677792,0.9893111860693793,0.9437290197499821,0.9046463936251246,0.8841267601139031,0.5640036396724295,0.9952279837166654,0.977248094133245,0.8886647628588047,0
4_3,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,5.333333333333333,72.66666666666667,15,0.9831333333333337,5.684066666666667,3.5955555555555554,6.188888888888889,100.16944444444444,42,12.594444444444445,14.144444444444444,471.11111111111114,1.24,2.278745644599303,0.17296301943444253,0,3,0,1.089058524173028,1.169129896392905,0.7086352210557445,0.600715667786873,1.557823747020722,1.008636105267962,0.997404419146606,1.056666861975352,0.9768280419766492,0.9110828025477706,1.140522616057871,1.1216633521157884,0.8995463721999328,0
4_4,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,3.6666666666666665,69.66666666666667,24.333333333333332,1.6928000000000003,5.088066666666667,3.7061111111111114,6.597777777777778,90.03555555555555,44.5,10.732222222222223,12.807777777777778,423.3333333333333,1.285,2.868501538714305,0.3327000432384272,1,3,0.3333333333333333,0.7487277353689568,1.1208630658078769,1.1495638030459854,1.034337304973505,1.3944789082507658,1.0396494836592358,1.0633011563541377,0.9495048924825686,0.8780048240198757,0.9653139217470428,0.971884247772649,1.0156648436636837,0.9321912002233175,1.3216715257531584
4_5,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,5,65.33333333333333,22.666666666666668,1.736466666666667,2.679066666666667,3.9333333333333336,6.836666666666667,89.69,41.5,9.961111111111112,11.145555555555555,404.44444444444446,1.3866666666666667,2.4861576595447565,0.6481610511123278,0,3,0,1.0209923664122138,1.0511443105183917,1.0708265562620138,1.061018579971837,0.7342478401352873,1.103390547790045,1.1018006087987553,0.9071385324505381,0.87463505034688,0.9002365787079163,0.9020542790435654,0.8838495746326372,1.0059443302020754,0
4_6,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,4,64.33333333333333,24.666666666666668,2.1718000000000006,4.789066666666668,3.772222222222222,6.762222222222222,108.36444444444444,39.166666666666664,8.773333333333333,10.225555555555555,315.55555555555554,1.1933333333333334,2.369704795939818,0.4534912857063311,1,3,0.3333333333333333,0.816793893129771,1.035055366990049,1.1653112524027798,1.3270166345353605,1.3125324203443614,1.0581951722449725,1.0898031050136885,0.7077674264174527,1.056743687395232,0.8496208674552623,0.7944919785084208,0.8108929952491437,0.8656924764719784,1.3216715257531584
4_7,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,6.333333333333333,63.666666666666664,9.333333333333334,0.3401333333333338,1.8014000000000001,3.3166666666666664,5.848888888888889,80.07888888888888,33.666666666666664,12.518888888888888,13.464444444444444,392.22222222222223,1.465,0.775,0.18881610599163637,0,3,0,1.2932569974554706,1.0243294046378206,0.440928581990241,0.20782880159006098,0.49370703449697906,0.9304013517382158,0.9426098496207782,0.8797250053709889,0.7809098340400886,0.7303124052168638,1.1336804865570387,1.0677389238758148,1.062770512316856,0
4_8,4,43.704239,-79.4265,70,6.515807621583965,25.638252065753385,3,6,67.66666666666667,22.333333333333332,2.099466666666667,5.694400000000001,3.086666666666667,5.932222222222222,74.40944444444445,35.333333333333336,10.501111111111111,11.832222222222223,300,1.1683333333333332,3.3206902787026946,0.36868970684649244,1,3,0.3333333333333333,1.2251908396946565,1.0886851787511915,1.0550791069052197,1.2828194080114057,1.560655788408792,0.8658810569945607,0.9560398911712261,0.6728774828616629,0.7256227917042037,0.7664664846830451,0.9509553810642205,0.9383026737377086,0.8475564609034314,1.3216715257531584
5_1,5,43.722385,-79.426597,92,8.257243194042573,27.02718186329092,4,6,64,24.5,1.2433500000000004,5.66965,3.507777777777778,5.810555555555555,104.34222222222222,37.625,11.9075,12.378333333333334,465.8333333333333,1.32625,3.1706347783015643,0.2192992512765339,2,4,0.5,1.2251908396946565,1.0296923858139349,1.1574375277243827,0.7597136626528872,1.5538725925034957,0.984012417902026,0.9364320305075721,1.0448292025546375,1.017519955252968,0.8161783439490445,1.0783145783536119,0.9816096287703017,0.9621156259114202,1.9825072886297377
5_2,5,43.722385,-79.426597,92,8.257243194042573,27.02718186329092,3,4.666666666666667,71,15.666666666666666,1.0731333333333335,4.8444,3.633888888888889,6.140555555555555,111.64,60,9.946666666666667,11.55,496.6666666666667,1.2666666666666668,1.9590214873828318,0.2215203809209259,0,3,0,0.9529262086513995,1.142314990512334,0.7401301197693331,0.6557076086231297,1.3276975451966053,1.0193894877252379,0.9896149950473462,1.1139860549598641,1.0886861079353962,1.3015468607825293,0.9007462248742887,0.9159222737819026,0.9188914554730497,0
5_3,5,43.722385,-79.426597,92,8.257243194042573,27.02718186329092,3,3.6666666666666665,71.5,21,1.2995333333333334,6.338066666666667,3.560833333333333,5.8525,80.71666666666667,32.25,8.62888888888889,10.068888888888889,253.33333333333334,1.1816666666666666,2.5830621084546674,0.20503623607619567,1,3,0.3333333333333333,0.7487277353689568,1.1503594622765054,0.9920893094780422,0.7940428909045577,1.7370645600333925,0.998895722607386,0.9431918180879643,0.568207652194293,0.7871292877002156,0.6995814376706097,0.781411436815653,0.798469229919346,0.8572290025399898,1.3216715257531584
5_4,5,43.722385,-79.426597,92,8.257243194042573,27.02718186329092,3,4.333333333333333,63.333333333333336,18,1.0024666666666668,4.569066666666667,3.624444444444445,5.84,113.26777777777778,46.833333333333336,12.556666666666667,14.187777777777779,318.88888888888886,1.2583333333333333,2.0432026307026305,0.21940294151978523,0,3,0,0.8848600508905853,1.0189664234617064,0.8503622652668934,0.6125287513739207,1.2522373456306188,1.0167401036415613,0.941177311855397,0.7152438428936935,1.1045598006393789,1.0159296329996965,1.1371015513074547,1.125099712738924,0.9128461169502007,0
