Population,Family_ID,Seed,label,Time_to_germination,Row,Column,Days_to_flower,Num_Inf,HCN_Results,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Latitude,Longitude,Distance_to_core,Distance_to_cg
25,2,3,25-2-3,3,14,30,55,37,0,1.6498000000000004,2.3324,3.4233333333333333,6.8966666666666665,430,105.55666666666667,48,9.163333333333334,10.996666666666666,1.4849999999999999,2.7194458189015336,43.432349,-79.829473,43.92776371111732,18.729344671748326
9,3,5,9-3-5,8,14,31,70,1,0,0.2168000000000001,2.7783999999999995,3.62,5.91,683.3333333333334,110.84,NA,11.596666666666666,12.593333333333334,1.495,3.78,43.693306,-79.538379,13.369577165605406,18.865829319561513
27,8,3,27-8-3,4,14,32,63,34,0,1.0688,4.4574,3.5433333333333334,6.3133333333333335,230,89.60000000000001,48.5,9.063333333333333,10.8,1.115,2.239583333333333,43.400155,-79.848595,47.27917025686753,22.37937676040562
3,2,3,3-2-3,5,15,1,67,18,0,2.2508000000000004,2.8444000000000003,3.841666666666667,6.65,190,142.63,59,10.046666666666667,11.336666666666666,1.0499999999999998,2.4220641646489103,43.683698,-79.421095,4.492586326551475,24.509794771746183
26,3,3,26-3-3,5,15,2,66,10,1,1.0558,3.272400000000001,3.9383333333333335,6.506666666666667,406.6666666666667,85.41,63.5,16.196666666666665,17.603333333333335,1.62,NA,43.414687,-79.832589,45.27544397596537,20.31390823719724
11,2,4,11-2-4,5,15,3,67,18,0,1.2668000000000004,3.1784,3.58,6.246666666666667,276.6666666666667,60.71333333333334,47.5,7.823333333333333,9.033333333333333,1.555,NA,43.663863,-79.585551,16.533738844636368,14.156643177241694
13,6,3,13-6-3,4,15,4,49,36,0,3.7808000000000006,3.8064,4.171666666666667,6.6,536.6666666666666,126.67333333333333,62.5,12.376666666666667,14.736666666666666,1.69,2.964522546419098,43.641963,-79.631233,20.25081019161363,10.596965947834507
16,3,4,16-3-4,4,15,5,63,30,1,2.4988000000000006,3.3924000000000003,3.5983333333333336,6.151666666666667,333.3333333333333,116.52666666666667,55,13.216666666666667,14.383333333333333,1.565,4.886166253101736,43.61094,-79.688052,25.27159407214257,7.146088704825881
15,6,1,15-6-1,4,15,6,67,22,0,2.2768,6.9664,4.073333333333333,6.048333333333334,400,114.33,51,11.813333333333333,11.493333333333334,1.1749999999999998,3.9815705128205128,43.616903,-79.669317,23.663587997705708,7.526631296860096
9,5,5,9-5-5,8,15,7,63,11,0,1.8568000000000002,5.6234,4.295,7.16,700,133.14,45.5,13.73,15.59,1.595,NA,43.693306,-79.538379,13.369577165605406,18.865829319561513
15,1,4,15-1-4,4,15,8,68,11,0,1.5638,6.2994,3.695,6.453333333333333,316.6666666666667,79.38,52,14.379999999999999,14.166666666666666,1.29,3.9517625231910944,43.616903,-79.669317,23.663587997705708,7.526631296860096
17,1,4,17-1-4,3,15,9,67,24,0,2.7558000000000002,3.7294,3.586666666666667,6.355,370,167.51666666666668,54.5,11.116666666666667,13.333333333333334,1.545,2.1074587264150946,43.58858,-79.69878,26.712604213541383,5.246219840707324
14,4,4,14-4-4,4,15,10,59,18,0,2.5618000000000003,2.0894000000000004,3.43,6.035,440,155.55,35.5,11.41,12.306666666666667,1.395,1.9115942028985509,43.627471,-79.65002,21.936116076110327,8.739887353969236
